date,app_name,country,platform,impressions,clicks,installs,spend,revenue,CTR,CVR,CPI,ROAS,ARPU,LTV
2025-05-14,App_1,US,Android,28189,1162,602,981.54,1678.34,0.04122175316612863,0.5180722891566265,1.6304651162790698,1.7099048434093362,2.787940199335548,250.91461794019932
2025-05-14,App_1,TR,iOS,33984,5045,1361,883.85,1672.53,0.14845221280602636,0.26977205153617445,0.6494121969140338,1.8923233580358658,1.2288978692138133,110.6008082292432
2025-05-14,App_1,DE,Android,46873,5199,3023,2361.64,2491.91,0.11091673244725109,0.5814579726870552,0.7812239497188224,1.0551608204468081,0.8243169037380086,74.18852133642078
2025-05-14,App_1,FR,Android,1574,31,15,25.75,4.97,0.019695044472681066,0.4838709677419355,1.7166666666666666,0.19300970873786408,0.3313333333333333,29.819999999999997
2025-05-14,App_1,BR,Android,10853,778,310,299.72,262.93,0.0716852483184373,0.39845758354755784,0.9668387096774195,0.877252101961831,0.8481612903225807,76.33451612903227
2025-05-14,App_1,IN,Android,20428,342,76,172.5,205.79,0.01674172704131584,0.2222222222222222,2.2697368421052633,1.1929855072463769,2.7077631578947368,243.6986842105263
2025-05-14,App_1,UK,iOS,10884,1496,766,1479.12,2123.22,0.137449467107681,0.5120320855614974,1.930966057441253,1.4354616258315755,2.7718276762402088,249.4644908616188
2025-05-14,App_1,CA,Android,10510,1452,706,803.74,802.76,0.13815413891531875,0.48622589531680444,1.1384419263456091,0.9987807002264414,1.1370538243626063,102.33484419263456
2025-05-14,App_1,AU,Android,43053,890,472,299.83,257.44,0.020672194736719857,0.5303370786516854,0.6352330508474576,0.8586198846012741,0.5454237288135593,49.088135593220336
2025-05-14,App_2,US,iOS,8848,1233,628,332.22,1112.04,0.13935352622061484,0.5093268450932684,0.5290127388535032,3.347299981939678,1.770764331210191,159.3687898089172
2025-05-14,App_2,TR,Android,39624,573,323,728.56,715.08,0.014460932768019382,0.5636998254799301,2.2556037151702784,0.9814977489842979,2.213869969040248,199.24829721362232
