date,app_name,country,platform,impressions,clicks,installs,spend,revenue
2025-05-14,App_1,US,Android,28189,1162,602,981.54,1678.34
2025-05-14,App_1,TR,iOS,33984,5045,1361,883.85,1672.53
2025-05-14,App_1,DE,Android,46873,5199,3023,2361.64,2491.91
2025-05-14,App_1,FR,Android,1574,31,15,25.75,4.97
2025-05-14,App_1,BR,Android,10853,778,310,299.72,262.93
2025-05-14,App_1,IN,Android,20428,342,76,172.5,205.79
2025-05-14,App_1,UK,iOS,10884,1496,766,1479.12,2123.22
2025-05-14,App_1,CA,Android,10510,1452,706,803.74,802.76
2025-05-14,App_1,AU,Android,43053,890,472,299.83,257.44
2025-05-14,App_2,US,iOS,8848,1233,628,332.22,1112.04
2025-05-14,App_2,TR,Android,39624,573,323,728.56,715.08
2025-05-14,App_2,DE,iOS,21494,2825,921,1510.23,2729.29
2025-05-14,App_2,FR,iOS,17477,662,294,683.74,461.35
2025-05-14,App_2,BR,Android,9924,950,450,780.38,993.51
2025-05-14,App_2,IN,iOS,21462,2616,1062,752.72,555.74
2025-05-14,App_2,UK,iOS,32885,3079,1080,2561.98,335.46
2025-05-14,App_2,CA,Android,41823,5120,3017,5173.38,6926.62
2025-05-14,App_2,AU,Android,42538,2167,795,846.37,738.89
2025-05-14,App_3,US,iOS,31158,3589,1043,1323.1,2748.85
2025-05-14,App_3,TR,iOS,19332,1685,740,1724.3,1640.36
2025-05-14,App_3,DE,Android,5568,463,192,239.1,382.94
2025-05-14,App_3,FR,Android,2734,274,131,237.78,295.4
2025-05-14,App_3,BR,iOS,3388,330,84,134.36,97.14
2025-05-14,App_3,IN,Android,32386,491,281,564.78,285.69
2025-05-14,App_3,UK,Android,9869,304,87,48.36,45.22
2025-05-14,App_3,CA,Android,37126,3967,1600,1953.99,1655.15
2025-05-14,App_3,AU,iOS,37132,1622,828,1319.14,991.91
2025-05-14,App_4,US,Android,45421,4780,981,2394.83,678.07
2025-05-14,App_4,TR,Android,45154,3103,1533,1945.22,3355.34
2025-05-14,App_4,DE,iOS,36144,4879,1547,953.3,1306.46
2025-05-14,App_4,FR,Android,12754,1889,448,1066.63,206.37
2025-05-14,App_4,BR,iOS,6225,852,429,390.83,135.05
2025-05-14,App_4,IN,Android,2387,150,57,56.46,140.48
2025-05-14,App_4,UK,Android,14668,1218,537,1329.47,669.01
2025-05-14,App_4,CA,iOS,24855,2492,1463,3288.29,872.67
2025-05-14,App_4,AU,Android,1619,166,80,63.71,210.78
2025-05-14,App_5,US,Android,44449,2202,543,485.49,1067.86
2025-05-14,App_5,TR,iOS,32568,3369,1899,4021.35,1594.01
2025-05-14,App_5,DE,iOS,27578,499,217,223.6,399.4
2025-05-14,App_5,FR,Android,37878,1129,277,479.27,745.39
2025-05-14,App_5,BR,Android,15865,1979,674,1507.08,1477.01
2025-05-14,App_5,IN,Android,28962,2775,696,1081.42,1565.94
2025-05-14,App_5,UK,Android,25674,2640,1300,2919.58,2722.41
2025-05-14,App_5,CA,Android,5386,594,215,211.16,109.79
2025-05-14,App_5,AU,Android,9978,1382,673,685.59,1423.62
2025-05-14,App_6,US,Android,35269,2836,608,1308.81,386.76
2025-05-14,App_6,TR,Android,23195,693,161,319.8,62.2
2025-05-14,App_6,DE,Android,20436,1628,541,625.32,417.42
2025-05-14,App_6,FR,Android,10800,276,123,207.42,295.19
2025-05-14,App_6,BR,iOS,19252,2431,566,1328.01,1065.0
2025-05-14,App_6,IN,Android,15587,871,412,760.72,441.58
2025-05-14,App_6,UK,Android,18654,2204,1257,1751.72,666.93
